subset,features,classifier,cv_mean,cv_std,train_prauc,test_prauc,n_train,pos_rate
no_TruthfulQA,ENS_sc+pca16+8+c,ensemble_lr_gb,0.5632177687946798,0.030229094949601406,0.0,0.7749107037849947,3318,0.18173598553345388
gemini+qwen,ENS_sc+pca16+8+c,ensemble_lr_gb,0.5632177687946798,0.030229094949601406,0.0,0.7749107037849947,3318,0.18173598553345388
gemini_only,sc+pca32+16+contr,LR_C0.01,0.4122359700221894,0.051833184977675,0.4781023496459138,0.7742536070607624,1753,0.11123787792355962
ALL (4001),sc+pca16+8+contr,LGBM_medium,0.5841430141816751,0.005566986402604426,0.7645888149410015,0.7734734138936605,4001,0.22444388902774307
gemini_only,sc+pca16+8+contr,LR_C0.01,0.44055727328116967,0.056082531356702665,0.4872229465203867,0.7728451016944818,1753,0.11123787792355962
ALL (4001),sc_only,LR_C0.01,0.5088821116463718,0.028449599386793718,0.5200080426184724,0.7727991985844025,4001,0.22444388902774307
gemini_only,sc+pca16+8,LR_C0.01,0.38394834392046645,0.03602920061288504,0.420900911106349,0.7720696094835773,1753,0.11123787792355962
no_TruthfulQA,ENS_sc+contrast,ensemble_lr_gb,0.5470120688358622,0.025160180956902978,0.0,0.7719448671535233,3318,0.18173598553345388
gemini+qwen,ENS_sc+contrast,ensemble_lr_gb,0.5470120688358622,0.025160180956902978,0.0,0.7719448671535233,3318,0.18173598553345388
ALL (4001),sc_only,LR_C0.05,0.5229024294067094,0.022546050585178317,0.5355282237898673,0.771537241633119,4001,0.22444388902774307
gemini_only,sc_only,LR_C0.05,0.3577099782944669,0.030903227988007407,0.380576752732007,0.7707090726132746,1753,0.11123787792355962
gemini+qwen,ENS_sc+pca32+16+c,ensemble_lr_gb,0.561141230587394,0.025747957359926042,0.0,0.7706431823998927,3318,0.18173598553345388
no_TruthfulQA,ENS_sc+pca32+16+c,ensemble_lr_gb,0.561141230587394,0.025747957359926042,0.0,0.7706431823998927,3318,0.18173598553345388
gemini+qwen,sc+pca16+8,LR_C0.1,0.532241639860093,0.026057788370295324,0.5562017383300956,0.769620832380242,3318,0.18173598553345388
no_TruthfulQA,sc+pca16+8,LR_C0.1,0.532241639860093,0.026057788370295324,0.5562017383300956,0.769620832380242,3318,0.18173598553345388
no_TruthfulQA,sc+pca16+8,LR_C0.05,0.531806869802476,0.02855435788182286,0.5542351543149426,0.7693233618608335,3318,0.18173598553345388
gemini+qwen,sc+pca16+8,LR_C0.05,0.531806869802476,0.02855435788182286,0.5542351543149426,0.7693233618608335,3318,0.18173598553345388
ALL (4001),sc+pca32+16,LGBM_medium,0.5571317796368672,0.02041512752599834,0.7814509999048305,0.768934733369891,4001,0.22444388902774307
ALL (4001),sc+pca16+8,LGBM_medium,0.5572948233393579,0.01638540949019552,0.7589804871782048,0.7683136986022276,4001,0.22444388902774307
ALL (4001),sc_only,LR_C0.1,0.5277734961240502,0.02088895237794746,0.5415716006444784,0.7678158393339016,4001,0.22444388902774307
ALL (4001),sc+pca32+16+contr,LGBM_medium,0.5763832255068886,0.01274268444020555,0.7875656827769665,0.7677431233741732,4001,0.22444388902774307
gemini_only,sc_only,LR_C0.1,0.3585196666312508,0.030989603956729176,0.38743100820394133,0.7675494051853673,1753,0.11123787792355962
ALL (4001),sc+contrast,LGBM_medium,0.5802466645937069,0.01284343724800043,0.7279934010183724,0.7670173678254204,4001,0.22444388902774307
qwen_only,sc+pca32+16+contr,LR_C0.01,0.6011984700637434,0.04497109063863591,0.6457181625263011,0.76563894684497,1565,0.26070287539936104
ALL (4001),sc+pca16+8+contr,LGBM_conservative,0.5493047705821293,0.014424909679276976,0.6253478196340211,0.7654511408654632,4001,0.22444388902774307
gemini+qwen,sc_only,LR_C0.05,0.4867303499951493,0.01328091638404786,0.5016719486061192,0.7652813723291634,3318,0.18173598553345388
no_TruthfulQA,sc_only,LR_C0.05,0.4867303499951493,0.01328091638404786,0.5016719486061192,0.7652813723291634,3318,0.18173598553345388
no_TruthfulQA,sc+pca16+8,LR_C0.01,0.5260355821222189,0.030768226407122793,0.5444819124101462,0.7642725382921904,3318,0.18173598553345388
gemini+qwen,sc+pca16+8,LR_C0.01,0.5260355821222189,0.030768226407122793,0.5444819124101462,0.7642725382921904,3318,0.18173598553345388
gemini_only,sc_only,LR_C0.01,0.3377004932773827,0.042497851802971956,0.35949641085200174,0.7637404031700386,1753,0.11123787792355962
gemini+qwen,sc_only,LR_C0.01,0.47060737760780685,0.02021211312317874,0.4829858712655725,0.7632314490793582,3318,0.18173598553345388
no_TruthfulQA,sc_only,LR_C0.01,0.47060737760780685,0.02021211312317874,0.4829858712655725,0.7632314490793582,3318,0.18173598553345388
qwen_only,sc+pca32+16,LR_C0.01,0.5931385170993877,0.04672726030504097,0.6383346429770319,0.7629748388521568,1565,0.26070287539936104
gemini_only,sc+contrast,LR_C0.01,0.4405570443248945,0.07227502606732045,0.4591817214527839,0.7622050011800002,1753,0.11123787792355962
no_TruthfulQA,sc_only,LR_C0.1,0.49004912701268466,0.013033859026383599,0.5065738209188362,0.7619029965387437,3318,0.18173598553345388
gemini+qwen,sc_only,LR_C0.1,0.49004912701268466,0.013033859026383599,0.5065738209188362,0.7619029965387437,3318,0.18173598553345388
gemini_only,sc+contrast,LR_C0.05,0.4551214395986811,0.08209059335916326,0.48376457539377526,0.7618655968096347,1753,0.11123787792355962
